package	ondiskversion	loadedversion	path	loadedpath	attached	is_base	date	source	md5ok	library
bit	bit	4.0.5	4.0.5	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/bit	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/bit	FALSE	FALSE	2022-11-15	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
bit64	bit64	4.0.5	4.0.5	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/bit64	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/bit64	FALSE	FALSE	2020-08-30	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
bitops	bitops	1.0.7	1.0-7	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/bitops	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/bitops	FALSE	FALSE	2021-04-24	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
blob	blob	1.2.3	1.2.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/blob	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/blob	FALSE	FALSE	2022-04-10	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
cachem	cachem	1.0.7	1.0.7	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/cachem	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/cachem	FALSE	FALSE	2023-02-24	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
callr	callr	3.7.3	3.7.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/callr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/callr	FALSE	FALSE	2022-11-02	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
cli	cli	3.6.0	3.6.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/cli	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/cli	FALSE	FALSE	2023-01-09	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
crayon	crayon	1.5.2	1.5.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/crayon	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/crayon	FALSE	FALSE	2022-09-29	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
curl	curl	4.3.3	4.3.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/curl	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/curl	FALSE	FALSE	2022-10-06	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
DBI	DBI	1.1.3	1.1.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/DBI	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/DBI	FALSE	FALSE	2022-06-18	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
dbplyr	dbplyr	2.2.1	2.2.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/dbplyr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/dbplyr	FALSE	FALSE	2022-06-27	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
DelayedArray	DelayedArray	0.20.0	0.20.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/DelayedArray	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/DelayedArray	FALSE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
devtools	devtools	2.4.5	2.4.5	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/devtools	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/devtools	TRUE	FALSE	2022-10-11	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
digest	digest	0.6.31	0.6.31	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/digest	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/digest	FALSE	FALSE	2022-12-11	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
dplyr	dplyr	1.0.10	1.0.10	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/dplyr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/dplyr	FALSE	FALSE	2022-09-01	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
ellipsis	ellipsis	0.3.2	0.3.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/ellipsis	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/ellipsis	FALSE	FALSE	2021-04-29	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
fansi	fansi	1.0.4	1.0.4	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/fansi	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/fansi	FALSE	FALSE	2023-01-22	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
fastmap	fastmap	1.1.1	1.1.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/fastmap	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/fastmap	FALSE	FALSE	2023-02-24	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
filelock	filelock	1.0.2	1.0.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/filelock	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/filelock	FALSE	FALSE	2018-10-05	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
fs	fs	1.6.1	1.6.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/fs	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/fs	FALSE	FALSE	2023-02-06	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
generics	generics	0.1.3	0.1.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/generics	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/generics	FALSE	FALSE	2022-07-05	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
GenomeInfoDb	GenomeInfoDb	1.30.1	1.30.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomeInfoDb	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomeInfoDb	TRUE	FALSE	2022-01-30	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
GenomeInfoDbData	GenomeInfoDbData	1.2.7	1.2.7	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomeInfoDbData	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomeInfoDbData	FALSE	FALSE	2022-08-01	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
GenomicAlignments	GenomicAlignments	1.28.0	1.28.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomicAlignments	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomicAlignments	FALSE	FALSE	2021-05-19	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
GenomicFeatures	GenomicFeatures	1.44.2	1.44.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomicFeatures	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomicFeatures	TRUE	FALSE	2021-08-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
GenomicRanges	GenomicRanges	1.46.1	1.46.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomicRanges	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/GenomicRanges	TRUE	FALSE	2021-11-18	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
glue	glue	1.6.2	1.6.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/glue	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/glue	FALSE	FALSE	2022-02-24	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
graph	graph	1.72.0	1.72.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/graph	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/graph	FALSE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
hms	hms	1.1.2	1.1.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/hms	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/hms	FALSE	FALSE	2022-08-19	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
htmltools	htmltools	0.5.4	0.5.4	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/htmltools	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/htmltools	FALSE	FALSE	2022-12-07	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
htmlwidgets	htmlwidgets	1.6.1	1.6.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/htmlwidgets	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/htmlwidgets	FALSE	FALSE	2023-01-07	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
httpuv	httpuv	1.6.7	1.6.7	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/httpuv	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/httpuv	FALSE	FALSE	2022-12-14	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
httr	httr	1.4.5	1.4.5	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/httr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/httr	FALSE	FALSE	2023-02-24	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
IRanges	IRanges	2.28.0	2.28.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/IRanges	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/IRanges	TRUE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
KEGGREST	KEGGREST	1.34.0	1.34.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/KEGGREST	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/KEGGREST	FALSE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
later	later	1.3.0	1.3.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/later	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/later	FALSE	FALSE	2021-08-18	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
lattice	lattice	0.20.45	0.20-45	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/lattice	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/lattice	FALSE	FALSE	2021-09-22	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
lifecycle	lifecycle	1.0.3	1.0.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/lifecycle	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/lifecycle	FALSE	FALSE	2022-10-07	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
magrittr	magrittr	2.0.3	2.0.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/magrittr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/magrittr	FALSE	FALSE	2022-03-30	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
MASS	MASS	7.3.58.2	7.3-58.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/MASS	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/MASS	FALSE	FALSE	2023-01-23	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
Matrix	Matrix	1.5.3	1.5-3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Matrix	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Matrix	FALSE	FALSE	2022-11-11	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
MatrixGenerics	MatrixGenerics	1.6.0	1.6.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/MatrixGenerics	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/MatrixGenerics	FALSE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
matrixStats	matrixStats	0.63.0	0.63.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/matrixStats	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/matrixStats	FALSE	FALSE	2022-11-18	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
memoise	memoise	2.0.1	2.0.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/memoise	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/memoise	FALSE	FALSE	2021-11-26	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
mime	mime	0.12	0.12	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/mime	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/mime	FALSE	FALSE	2021-09-28	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
miniUI	miniUI	0.1.1.1	0.1.1.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/miniUI	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/miniUI	FALSE	FALSE	2018-05-18	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
pillar	pillar	1.8.1	1.8.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pillar	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pillar	FALSE	FALSE	2022-08-19	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
pkgbuild	pkgbuild	1.4.0	1.4.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pkgbuild	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pkgbuild	FALSE	FALSE	2022-11-27	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
pkgconfig	pkgconfig	2.0.3	2.0.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pkgconfig	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pkgconfig	FALSE	FALSE	2019-09-22	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
pkgload	pkgload	1.3.2	1.3.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pkgload	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/pkgload	FALSE	FALSE	2022-11-16	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
png	png	0.1.8	0.1-8	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/png	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/png	FALSE	FALSE	2022-11-29	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
prettyunits	prettyunits	1.1.1	1.1.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/prettyunits	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/prettyunits	FALSE	FALSE	2020-01-24	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
processx	processx	3.8.0	3.8.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/processx	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/processx	FALSE	FALSE	2022-10-26	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
profvis	profvis	0.3.7	0.3.7	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/profvis	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/profvis	FALSE	FALSE	2020-11-02	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
progress	progress	1.2.2	1.2.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/progress	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/progress	FALSE	FALSE	2019-05-16	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
promises	promises	1.2.0.1	1.2.0.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/promises	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/promises	FALSE	FALSE	2021-02-11	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
ps	ps	1.7.2	1.7.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/ps	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/ps	FALSE	FALSE	2022-10-26	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
purrr	purrr	1.0.0	1.0.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/purrr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/purrr	FALSE	FALSE	2022-12-20	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
R6	R6	2.5.1	2.5.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/R6	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/R6	FALSE	FALSE	2021-08-19	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
rappdirs	rappdirs	0.3.3	0.3.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rappdirs	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rappdirs	FALSE	FALSE	2021-01-31	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
RBGL	RBGL	1.68.0	1.68.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/RBGL	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/RBGL	FALSE	FALSE	2021-05-19	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
Rcpp	Rcpp	1.0.10	1.0.10	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Rcpp	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Rcpp	FALSE	FALSE	2023-01-22	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
RCurl	RCurl	1.98.1.10	1.98-1.10	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/RCurl	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/RCurl	FALSE	FALSE	2023-01-27	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
remotes	remotes	2.4.2	2.4.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/remotes	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/remotes	FALSE	FALSE	2021-11-30	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
restfulr	restfulr	0.0.15	0.0.15	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/restfulr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/restfulr	FALSE	FALSE	2022-06-16	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
rjson	rjson	0.2.21	0.2.21	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rjson	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rjson	FALSE	FALSE	2022-01-09	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
rlang	rlang	1.0.6	1.0.6	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rlang	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rlang	FALSE	FALSE	2022-09-24	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
Rsamtools	Rsamtools	2.8.0	2.8.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Rsamtools	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Rsamtools	FALSE	FALSE	2021-05-19	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
